record_id,student_id,student_name,level,department,course_code,course_name,semester_days,attendance_percent_norm,ca_score_norm,participation_score_0_5,lms_logins,risk_score,predicted_success_rate,risk_level,risk_numeric,recommended_action
REC00034,STU01353,Efe M.,Year 1,Computer Science,GST111,Communication in English,98,0.7794,0.4766,4.2,53,0.2773,0.7227,Low,0,No immediate action
REC00035,STU02258,Somto Y.,Year 1,Computer Science,PHY102,General Physics II,98,0.6665,0.5155,3.7,22,0.3634,0.6366,Low,0,No immediate action
REC00036,STU00688,Ada I.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.6195,0.7246,2.5,43,0.3348,0.6652,Low,0,No immediate action
REC00037,STU01815,Jide W.,Year 1,Computer Science,PHY102,General Physics II,98,0.5364,0.448,4.7,19,0.6249,0.3751,High,2,Advisor review and peer tutorial recommendation
REC00038,STU00883,Kemi W.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.8927,0.8244,1.4,25,0.2631,0.7369,Low,0,No immediate action
REC00039,STU00900,Somto Y.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.8365,0.6736,3.6,44,0.2193,0.7807,Low,0,No immediate action
REC00040,STU00381,Nora R.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.5045,0.1127,3.7,21,0.7721,0.2279,High,2,Advisor review and peer tutorial recommendation
REC00041,STU02645,Nedu W.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.4974,0.6461,3.1,32,0.5053,0.4947,Medium,1,Monitor and recommend targeted support
REC00042,STU00815,Chidi G.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.6742,0.486,2.3,32,0.3946,0.6054,Medium,1,Monitor and recommend targeted support
REC00043,STU02531,Chidi G.,Year 1,Computer Science,PHY102,General Physics II,98,0.6074,0.2368,2.4,24,0.6165,0.3835,Medium,1,Monitor and recommend targeted support
REC00044,STU02493,Zara D.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.9556,0.7123,4.8,26,0.1325,0.8675,Low,0,No immediate action
REC00045,STU01551,Mira G.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.9236,0.6928,5,72,0.1227,0.8773,Low,0,No immediate action
REC00046,STU01071,Kemi Q.,Year 1,Computer Science,PHY102,General Physics II,98,0.4009,0.6228,2.9,31,0.5619,0.4381,Medium,1,Monitor and recommend targeted support
REC00047,STU01251,Ireti M.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.9825,0.7993,4.4,30,0.0994,0.9006,Low,0,No immediate action
REC00048,STU02479,Nifemi F.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.4057,0.5347,2.4,44,0.6013,0.3987,Medium,1,Monitor and recommend targeted support
REC00049,STU01173,Lara K.,Year 1,Computer Science,GST111,Communication in English,98,0.8765,0.5166,3.7,45,0.2464,0.7536,Low,0,No immediate action
REC00050,STU01690,Zara P.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.6551,0.5493,5,51,0.2732,0.7268,Low,0,No immediate action
REC00051,STU02416,Ireti R.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.8909,0.4354,3.8,19,0.4029,0.5971,Medium,1,Monitor and recommend targeted support
REC00052,STU00386,Kemi N.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.6326,0.4543,2.1,18,0.4716,0.5284,Medium,1,Monitor and recommend targeted support
REC00053,STU00146,Ada O.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.6281,0.5809,1.6,26,0.4309,0.5691,Medium,1,Monitor and recommend targeted support
REC00054,STU01158,Amaka J.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.8381,0.3778,3.5,36,0.4114,0.5886,Medium,1,Monitor and recommend targeted support
REC00055,STU00430,Teni L.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.6857,0.6493,2.2,45,0.3429,0.6571,Low,0,No immediate action
REC00056,STU02352,Mira V.,Year 1,Computer Science,GST111,Communication in English,98,0.8889,0.7314,3.9,41,0.169,0.831,Low,0,No immediate action
REC00057,STU00346,Femi Z.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.872,0.6508,3.7,54,0.208,0.792,Low,0,No immediate action
REC00058,STU02289,Rita T.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.4032,0.7041,3.0,16,0.5785,0.4215,Medium,1,Monitor and recommend targeted support
REC00059,STU00202,Lekan D.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.6292,0.6613,2.9,36,0.3339,0.6661,Low,0,No immediate action
REC00060,STU02573,Tara J.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.6077,0.475,2.3,2,0.5163,0.4837,Medium,1,Monitor and recommend targeted support
REC00061,STU01526,Lara L.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.2089,0.0717,0,20,1,0,High,2,Advisor review and peer tutorial recommendation
REC00062,STU00733,Femi W.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.9016,0.8575,2.5,14,0.2393,0.7607,Low,0,No immediate action
REC00063,STU02590,Femi G.,Year 1,Computer Science,GST111,Communication in English,98,0.3156,0.8399,3.4,33,0.5058,0.4942,Medium,1,Monitor and recommend targeted support
REC00064,STU00129,Teni P.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.4617,0.3282,2.4,12,0.8041,0.1959,High,2,Advisor review and peer tutorial recommendation
REC00065,STU01520,Jide J.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.6815,0.4532,4.5,28,0.3257,0.6743,Low,0,No immediate action
REC00066,STU01311,Ireti Q.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.7787,0.661,2.2,43,0.3022,0.6978,Low,0,No immediate action
REC00067,STU00750,Efe U.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.5703,0.2351,1.2,29,0.6646,0.3354,High,2,Advisor review and peer tutorial recommendation
REC00068,STU00102,Dami U.,Year 1,Computer Science,GST111,Communication in English,98,0.8441,0.8116,3.5,15,0.233,0.767,Low,0,No immediate action
REC00069,STU02755,Lara D.,Year 1,Computer Science,PHY102,General Physics II,98,0.6926,0.4487,1.9,29,0.5236,0.4764,Medium,1,Monitor and recommend targeted support
REC00070,STU00444,Tobi P.,Year 1,Computer Science,PHY102,General Physics II,98,0.945,0.8728,3.1,38,0.1362,0.8638,Low,0,No immediate action
REC00071,STU01045,Tolu R.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.785,0.7815,5,46,0.1516,0.8484,Low,0,No immediate action
REC00072,STU01402,Tolu Z.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.8841,0.8016,4.9,38,0.1099,0.8901,Low,0,No immediate action
REC00073,STU00099,Femi I.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.7654,0.8082,1.8,21,0.3151,0.6849,Low,0,No immediate action
REC00074,STU00179,Ife I.,Year 1,Computer Science,GST111,Communication in English,98,0.7359,0.6726,3.2,49,0.2759,0.7241,Low,0,No immediate action
REC00075,STU01326,Teni X.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.6385,0.7071,4.6,23,0.2781,0.7219,Low,0,No immediate action
REC00076,STU01624,Nifemi O.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.9634,0.5214,5,31,0.1633,0.8367,Low,0,No immediate action
REC00077,STU02207,Nora I.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.5885,0.5199,2.5,42,0.4086,0.5914,Medium,1,Monitor and recommend targeted support
REC00078,STU02710,Nora A.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.6739,0.5897,1.6,44,0.3895,0.6105,Medium,1,Monitor and recommend targeted support
REC00079,STU02792,Mira W.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.7822,0.6164,2.1,37,0.3182,0.6818,Low,0,No immediate action
REC00080,STU02132,Bayo W.,Year 1,Computer Science,PHY102,General Physics II,98,0.901,0.8145,5,54,0.0953,0.9047,Low,0,No immediate action
REC00081,STU01024,Zara S.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.9253,0.6797,1.8,15,0.3081,0.6919,Low,0,No immediate action
REC00082,STU00308,Teni U.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.8589,0.5042,2.9,41,0.2892,0.7108,Low,0,No immediate action
REC00083,STU00902,Efe L.,Year 1,Computer Science,GST111,Communication in English,98,0.9447,0.7356,4.2,37,0.1334,0.8666,Low,0,No immediate action
REC00084,STU00183,Rita C.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.8303,0.5655,3.8,34,0.2462,0.7538,Low,0,No immediate action
REC00085,STU02683,Somto S.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.6506,0.6372,3.6,16,0.3556,0.6444,Low,0,No immediate action
REC00086,STU02750,Kemi H.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.5424,0.5165,2.4,39,0.5521,0.4479,Medium,1,Monitor and recommend targeted support
REC00087,STU00973,Nifemi Q.,Year 1,Computer Science,GST111,Communication in English,98,0.6545,0.6803,2.9,19,0.3599,0.6401,Low,0,No immediate action
REC00088,STU01246,Chidi O.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.4341,0.2925,1.8,20,0.8254,0.1746,High,2,Advisor review and peer tutorial recommendation
REC00089,STU02288,Nedu A.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.841,0.759,3.5,52,0.1959,0.8041,Low,0,No immediate action
REC00090,STU00521,Nora Y.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.6514,0.462,3.4,58,0.3648,0.6352,Low,0,No immediate action
REC00091,STU00387,Lara I.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.0869,0.4136,1.8,31,0.8943,0.1057,High,2,Advisor review and peer tutorial recommendation
REC00092,STU01348,Muna P.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.4759,0.64,2.4,21,0.5774,0.4226,Medium,1,Monitor and recommend targeted support
REC00093,STU02654,Efe Z.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.6302,0.4726,2.5,35,0.4061,0.5939,Medium,1,Monitor and recommend targeted support
REC00094,STU00978,Muna T.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.8813,0.8634,4.9,40,0.0925,0.9075,Low,0,No immediate action
REC00095,STU02567,Nedu F.,Year 1,Computer Science,GST111,Communication in English,98,0.7069,0.5903,3.2,13,0.3724,0.6276,Low,0,No immediate action
REC00096,STU02186,Rita K.,Year 1,Computer Science,GST111,Communication in English,98,0.4955,0.6205,2.8,33,0.5236,0.4764,Medium,1,Monitor and recommend targeted support
REC00097,STU02478,Seyi Z.,Year 1,Computer Science,PHY102,General Physics II,98,0.9122,0.582,3.4,52,0.2245,0.7755,Low,0,No immediate action
REC00098,STU00520,Ayo O.,Year 1,Computer Science,GST111,Communication in English,98,0.7392,0.8726,4.6,43,0.1585,0.8415,Low,0,No immediate action
REC00099,STU01596,Jide C.,Year 1,Computer Science,PHY102,General Physics II,98,0.7836,0.7472,3.7,33,0.2144,0.7856,Low,0,No immediate action
REC00100,STU01529,Ife J.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.8856,0.5969,4.3,34,0.1947,0.8053,Low,0,No immediate action
REC00101,STU02428,Mira O.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.5337,0.1125,2.1,24,0.8153,0.1847,High,2,Advisor review and peer tutorial recommendation
REC00102,STU01904,Nifemi A.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.6521,0.6017,1.9,30,0.3908,0.6092,Medium,1,Monitor and recommend targeted support
REC00103,STU02473,Tolu C.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.5962,0.3377,1.2,19,0.654,0.346,High,2,Advisor review and peer tutorial recommendation
REC00104,STU01153,Uche P.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.7086,0.8192,4.0,45,0.2108,0.7892,Low,0,No immediate action
REC00105,STU00771,Amaka N.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.9515,0.8017,4.8,57,0.0869,0.9131,Low,0,No immediate action
REC00106,STU01107,Ayo C.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.7443,0.6368,1.9,28,0.3495,0.6505,Low,0,No immediate action
REC00107,STU01721,Zara O.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.5894,0.3278,3.5,19,0.5677,0.4323,Medium,1,Monitor and recommend targeted support
REC00108,STU01644,Bayo W.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.6255,0.5076,3.4,43,0.3615,0.6385,Low,0,No immediate action
REC00109,STU00159,Ife Y.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.1283,0.3777,1.6,10,0.9608,0.0392,High,2,Advisor review and peer tutorial recommendation
REC00110,STU02236,Rita E.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.7827,0.7038,3.2,38,0.2478,0.7522,Low,0,No immediate action
REC00111,STU00637,Uche K.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.8242,0.4624,1.6,19,0.4094,0.5906,Medium,1,Monitor and recommend targeted support
REC00112,STU02252,Ireti R.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.7702,0.7408,3.7,37,0.2217,0.7783,Low,0,No immediate action
REC00113,STU02187,Ayo U.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.8993,0.8278,3.9,33,0.1359,0.8641,Low,0,No immediate action
REC00114,STU01674,Somto W.,Year 1,Computer Science,GST111,Communication in English,98,0.8826,0.7674,5,43,0.1167,0.8833,Low,0,No immediate action
REC00115,STU02054,Ayo X.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.5727,0.3672,3.5,28,0.535,0.465,Medium,1,Monitor and recommend targeted support
REC00116,STU00099,Tolu W.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.8599,0.7386,5,33,0.1345,0.8655,Low,0,No immediate action
REC00117,STU02492,Tobi J.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.7849,0.6743,3.3,41,0.2517,0.7483,Low,0,No immediate action
REC00118,STU00347,Nifemi S.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.3762,0.2156,2.8,28,0.8071,0.1929,High,2,Advisor review and peer tutorial recommendation
REC00119,STU00276,Somto R.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.6314,0.7003,3.3,29,0.3166,0.6834,Low,0,No immediate action
REC00120,STU00707,Lekan B.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.517,0.3574,3.2,37,0.678,0.322,High,2,Advisor review and peer tutorial recommendation
REC00121,STU01675,Ife Q.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.7403,0.3923,4.5,40,0.4062,0.5938,Medium,1,Monitor and recommend targeted support
REC00122,STU01170,Kemi D.,Year 1,Computer Science,PHY102,General Physics II,98,0.5363,0.1637,1.7,12,0.8516,0.1484,High,2,Advisor review and peer tutorial recommendation
REC00123,STU01642,Zara H.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.5251,0.6784,3.3,35,0.4744,0.5256,Medium,1,Monitor and recommend targeted support
REC00124,STU01679,Dara D.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.6113,0.3857,2.3,32,0.5498,0.4502,Medium,1,Monitor and recommend targeted support
REC00125,STU01200,Kene L.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.2421,0.1368,1.0,30,0.9903,0.0097,High,2,Advisor review and peer tutorial recommendation
REC00126,STU02200,Lara E.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.5958,0.4032,2.4,30,0.5529,0.4471,Medium,1,Monitor and recommend targeted support
REC00127,STU00703,Ife G.,Year 1,Computer Science,GST111,Communication in English,98,0.6465,0.4573,3.7,29,0.3674,0.6326,Low,0,No immediate action
REC00128,STU00255,Bayo X.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.4082,0.4213,1.6,11,0.8327,0.1673,High,2,Advisor review and peer tutorial recommendation
REC00129,STU00175,Seyi Y.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.6103,0.3375,2.6,14,0.6078,0.3922,Medium,1,Monitor and recommend targeted support
REC00130,STU01404,Nifemi W.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.1998,0.1755,1.6,0,1,0,High,2,Advisor review and peer tutorial recommendation
REC00131,STU01077,Kemi X.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.7227,0.5087,3.4,30,0.3305,0.6695,Low,0,No immediate action
REC00132,STU00247,Ireti O.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.7827,0.6906,4.3,38,0.2077,0.7923,Low,0,No immediate action
REC00133,STU00176,Muna J.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.8126,0.5397,3.2,44,0.2851,0.7149,Low,0,No immediate action
REC00134,STU01003,Seyi L.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.8749,0.6927,4.2,45,0.1742,0.8258,Low,0,No immediate action
REC00135,STU02401,Efe G.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.6858,0.8633,4.0,20,0.2455,0.7545,Low,0,No immediate action
REC00136,STU00972,Ireti W.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.7224,0.6766,2.2,28,0.3343,0.6657,Low,0,No immediate action
REC00137,STU02057,Somto Y.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.858,0.688,3.2,47,0.2224,0.7776,Low,0,No immediate action
REC00138,STU01718,Ada I.,Year 1,Computer Science,GST111,Communication in English,98,0.6984,0.2623,2.1,20,0.5967,0.4033,Medium,1,Monitor and recommend targeted support
REC00139,STU02484,Lara B.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.6833,0.6056,2.4,31,0.3541,0.6459,Low,0,No immediate action
REC00140,STU00669,Ayo M.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.0747,0.484,2.8,15,0.787,0.213,High,2,Advisor review and peer tutorial recommendation
REC00141,STU01293,Efe J.,Year 1,Computer Science,PHY102,General Physics II,98,0.2782,0.2718,0.5,9,1,0,High,2,Advisor review and peer tutorial recommendation
REC00142,STU02623,Nedu J.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.4609,0.7822,3.8,22,0.4816,0.5184,Medium,1,Monitor and recommend targeted support
REC00143,STU02003,Nifemi Z.,Year 1,Computer Science,GST111,Communication in English,98,0.6901,0.4009,2.8,13,0.5519,0.4481,Medium,1,Monitor and recommend targeted support
REC00144,STU01992,Muna C.,Year 1,Computer Science,PHY102,General Physics II,98,0.8036,0.6126,3.2,57,0.2668,0.7332,Low,0,No immediate action
REC00145,STU00209,Dami Q.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.632,0.5808,3.8,41,0.321,0.679,Low,0,No immediate action
REC00146,STU01215,Dami T.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.8228,0.8358,3.3,42,0.1881,0.8119,Low,0,No immediate action
REC00147,STU00907,Teni Q.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.5283,0.1986,2.9,22,0.7658,0.2342,High,2,Advisor review and peer tutorial recommendation
REC00148,STU00742,Chidi C.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.7137,0.6261,1.8,29,0.3659,0.6341,Low,0,No immediate action
REC00149,STU02680,Lara J.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.5786,0.7039,2.3,8,0.4409,0.5591,Medium,1,Monitor and recommend targeted support
REC00150,STU02673,Kemi R.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.7097,0.4891,4.3,27,0.3147,0.6853,Low,0,No immediate action
REC00151,STU02783,Ada K.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.8653,0.3709,3.5,58,0.4026,0.5974,Medium,1,Monitor and recommend targeted support
REC00152,STU02078,Tolu P.,Year 1,Computer Science,PHY102,General Physics II,98,0.8265,0.7494,4.7,47,0.1566,0.8434,Low,0,No immediate action
REC00153,STU02744,Seyi Z.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.6562,0.3027,2.3,25,0.5782,0.4218,Medium,1,Monitor and recommend targeted support
REC00154,STU00384,Lekan C.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.3929,0.4741,2.6,33,0.6166,0.3834,Medium,1,Monitor and recommend targeted support
REC00155,STU00435,Mira T.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.8852,0.6169,5,47,0.1608,0.8392,Low,0,No immediate action
REC00156,STU01128,Lekan D.,Year 1,Computer Science,PHY102,General Physics II,98,0.921,0.9009,2.8,31,0.1544,0.8456,Low,0,No immediate action
REC00157,STU00679,Kene S.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.8817,0.5956,3.9,25,0.2361,0.7639,Low,0,No immediate action
REC00158,STU02183,Nedu Y.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.6105,0.7627,2.6,41,0.323,0.677,Low,0,No immediate action
REC00159,STU00365,Tobi B.,Year 1,Computer Science,GST111,Communication in English,98,0.7922,0.8453,1.9,26,0.2739,0.7261,Low,0,No immediate action
REC00160,STU01336,Bayo Q.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.5659,0.6236,1.6,54,0.4226,0.5774,Medium,1,Monitor and recommend targeted support
REC00161,STU02316,Femi S.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.6912,0.9587,5,23,0.1655,0.8345,Low,0,No immediate action
